"id","date","total_steps","total_distance","tracker_distance","logged_activities_distance","very_active_distance","moderately_active_distance","light_active_distance","sedentary_active_distance","very_active_minutes","fairly_active_minutes","lightly_active_minutes","sedentary_minutes","total_sleep_records","total_minutes_asleep","total_time_in_bed","step_total","calories","day"
1503960366,"2016-04-12",13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1,327,346,13162,1985,"Tue"
1503960366,"2016-04-13",10735,6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,2,384,407,10735,1797,"Wed"
1503960366,"2016-04-14",10460,6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,NA,NA,NA,10460,1776,"Thu"
1503960366,"2016-04-15",9762,6.28000020980835,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1,412,442,9762,1745,"Fri"
1503960366,"2016-04-16",12669,8.15999984741211,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,2,340,367,12669,1863,"Sat"
1503960366,"2016-04-17",9705,6.48000001907349,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1,700,712,9705,1728,"Sun"
1503960366,"2016-04-18",13019,8.59000015258789,8.59000015258789,0,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,NA,NA,NA,13019,1921,"Mon"
1503960366,"2016-04-19",15506,9.88000011444092,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,1,304,320,15506,2035,"Tue"
1503960366,"2016-04-20",10544,6.67999982833862,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1,360,377,10544,1786,"Wed"
1503960366,"2016-04-21",9819,6.34000015258789,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1,325,364,9819,1775,"Thu"
1503960366,"2016-04-22",12764,8.13000011444092,8.13000011444092,0,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,1217,NA,NA,NA,12764,1827,"Fri"
1503960366,"2016-04-23",14371,9.03999996185303,9.03999996185303,0,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,1,361,384,14371,1949,"Sat"
1503960366,"2016-04-24",10039,6.40999984741211,6.40999984741211,0,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,1,430,449,10039,1788,"Sun"
1503960366,"2016-04-25",15355,9.80000019073486,9.80000019073486,0,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,1,277,323,15355,2013,"Mon"
1503960366,"2016-04-26",13755,8.78999996185303,8.78999996185303,0,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,1,245,274,13755,1970,"Tue"
1503960366,"2016-04-27",18134,12.210000038147,12.210000038147,0,6.40000009536743,0.409999996423721,5.40999984741211,0,78,11,243,1108,NA,NA,NA,18134,2159,"Wed"
1503960366,"2016-04-28",13154,8.52999973297119,8.52999973297119,0,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,1,366,393,13154,1898,"Thu"
1503960366,"2016-04-29",11181,7.15000009536743,7.15000009536743,0,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,1,341,354,11181,1837,"Fri"
1503960366,"2016-04-30",14673,9.25,9.25,0,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,1,404,425,14673,1947,"Sat"
1503960366,"2016-05-01",10602,6.80999994277954,6.80999994277954,0,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,1,369,396,10602,1820,"Sun"
